,classifier,samples,features,Feature Abundance Limits,roc_auc,CI lower,CI upper,FN,FP,TN,TP,accuracy,f1,f2,precision,recall
7,XGB,old,all,high,73.49,67.34,79.64,55,8,90,45,68.18,74.07,66.37,91.84,62.07
8,XGB,young,selected,no transformation,62.39,53.21,71.57,15,25,24,43,62.62,54.55,58.54,48.98,61.54
9,XGB,young,selected,low,63.67,54.56,72.78,14,25,25,43,63.55,56.18,60.68,50.0,64.1
10,XGB,young,selected,medium,62.39,53.21,71.57,15,25,24,43,62.62,54.55,58.54,48.98,61.54
11,XGB,young,selected,high,59.45,50.14,68.75,15,29,24,39,58.88,52.17,57.42,45.28,61.54
12,XGB,young,all,no transformation,48.28,38.82,57.75,26,25,13,43,52.34,33.77,33.51,34.21,33.33
13,XGB,young,all,low,45.17,35.74,54.6,29,24,10,44,50.47,27.4,26.32,29.41,25.64
14,XGB,young,all,medium,49.75,40.28,59.23,26,23,13,45,54.21,34.67,33.85,36.11,33.33
15,XGB,young,all,high,45.72,36.28,55.16,28,25,11,43,50.47,29.33,28.65,30.56,28.21
16,XGB,all,selected,no transformation,68.6,63.39,73.81,38,51,146,70,70.82,76.64,78.24,74.11,79.35
17,XGB,all,selected,low,67.22,61.95,72.49,37,55,147,66,69.84,76.17,78.36,72.77,79.89
18,XGB,all,selected,medium,67.21,61.94,72.48,34,57,150,64,70.16,76.73,79.53,72.46,81.52
19,XGB,all,selected,high,67.9,62.66,73.14,36,54,148,67,70.49,76.68,78.89,73.27,80.43
20,XGB,all,all,no transformation,71.06,65.97,76.15,70,24,114,97,69.18,70.81,65.22,82.61,61.96
21,XGB,all,all,low,66.37,61.07,71.68,69,36,115,85,65.57,68.66,64.83,76.16,62.5
22,XGB,all,all,medium,61.99,56.54,67.44,76,42,108,79,61.31,64.67,60.95,72.0,58.7
23,XGB,all,all,high,65.94,60.62,71.26,63,41,121,80,65.9,69.94,67.37,74.69,65.76
